Date	serie1	serie2	serie3	serie4	serie5	serie6
22/12/06	17.19	0.3741	0	0.04454897	0	0.04454897
28/12/06	17.24	0.3936	0.002904446	0.050812024	0.002904446	0.050812024
05/01/07	17.02	0.4053	-0.012843142	0.029292368	0.012843142	0.029292368
12/01/07	17.32	0.3983	0.01747278	-0.017422043	0.01747278	0.017422043
19/01/07	17.33	0.395	0.000577201	-0.008319725	0.000577201	0.008319725
26/01/07	17.14	0.3904	-0.011024191	-0.01171391	0.011024191	0.01171391
02/02/07	16.94	0.3834	-0.011737224	-0.018093024	0.011737224	0.018093024
09/02/07	16.64	0.3737	-0.017868254	-0.025625494	0.017868254	0.025625494
16/02/07	16.51	0.3866	-0.007843177	0.03393723	0.007843177	0.03393723
23/02/07	16.63	0.3918	0.007242035	0.013360939	0.007242035	0.013360939
02/03/07	16.32	0.3834	-0.018816944	-0.021672675	0.018816944	0.021672675
09/03/07	16.51	0.3869	0.011574908	0.009087431	0.011574908	0.009087431
